Match format,Day number,Local team id,Local team name,Visitor team id,Visitor team name,Player 1 Name,Player 1 License,Player 1 Letter,Player 2 Name,Player 2 License,Player 2 Letter,Player 1-2 Name,Player 1-2 License,Player 2-2 Name,Player 2-2 License,Set 1,Set 2,Set 3,Set 4,Set 5,Result,Score Count
singles,1,1348,SAN SEBASTIAN DE LOS REYES,767,ENoLI LES BORGES VALL,"DURAN GIRALT, MARC", 2856 ,A,"MORA SANCHEZ, YOHAN RINOL", 29448 ,Y,,,,,11-6,13-11,11-6,,,3-0,1 - 0
singles,1,1348,SAN SEBASTIAN DE LOS REYES,767,ENoLI LES BORGES VALL,"CARRERA RUIZ, FRANCESC", 24329 ,B,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,X,,,,,1-11,11-9,3-11,2-11,,1-3,1 - 1
singles,1,1348,SAN SEBASTIAN DE LOS REYES,767,ENoLI LES BORGES VALL,"TAULER ALSINA, NORBERT", 18284 ,C,"TSANG , TSZ TSUN", 41584 ,Z,,,,,11-8,11-6,4-11,11-9,,3-1,2 - 1
singles,1,1348,SAN SEBASTIAN DE LOS REYES,767,ENoLI LES BORGES VALL,"DURAN GIRALT, MARC", 2856 ,A,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,X,,,,,6-11,11-8,8-11,11-8,5-11,2-3,2 - 2
singles,1,1348,SAN SEBASTIAN DE LOS REYES,767,ENoLI LES BORGES VALL,"TAULER ALSINA, NORBERT", 18284 ,C,"MORA SANCHEZ, YOHAN RINOL", 29448 ,Y,,,,,9-11,11-7,11-5,11-3,,3-1,3 - 2
singles,1,1348,SAN SEBASTIAN DE LOS REYES,767,ENoLI LES BORGES VALL,"CARRERA RUIZ, FRANCESC", 24329 ,B,"TSANG , TSZ TSUN", 41584 ,Z,,,,,22-20,7-11,3-11,7-11,,1-3,3 - 3
singles,2,1348,SAN SEBASTIAN DE LOS REYES,24,REAL CAJASUR PRIEGO TM,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,A,"SODERLUND , HAMPUS KE HANNES", 22235 ,Y,,,,,11-9,7-11,8-11,11-5,10-12,2-3,0 - 1
singles,2,1348,SAN SEBASTIAN DE LOS REYES,24,REAL CAJASUR PRIEGO TM,"TSANG , TSZ TSUN", 41584 ,B,"CHEN , DIOGO JIAHONG", 39327 ,X,,,,,9-11,11-6,4-11,7-11,,1-3,0 - 2
singles,2,1348,SAN SEBASTIAN DE LOS REYES,24,REAL CAJASUR PRIEGO TM,"RUBIñOS CASTILLEJO, ADRIAN VICENTE", 36230 ,C,"FRANCO MEDINA, CARLOS", 5807 ,Z,,,,,8-11,11-9,5-11,7-11,,1-3,0 - 3
singles,2,1348,SAN SEBASTIAN DE LOS REYES,24,REAL CAJASUR PRIEGO TM,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,A,"CHEN , DIOGO JIAHONG", 39327 ,X,,,,,10-12,8-11,4-11,,,0-3,0 - 4
singles,3,811,C.T.T. OLOT - GABINET PERMAR,1348,SAN SEBASTIAN DE LOS REYES,"STRUGAREVIC L, NIKOLA", 39459 ,A,"STOYANOV , NIAGOL", 41846 ,Y,,,,,9-11,4-11,8-11,,,0-3,0 - 1
singles,3,811,C.T.T. OLOT - GABINET PERMAR,1348,SAN SEBASTIAN DE LOS REYES,"TSANG , TSZ TSUN", 41584 ,B,"ZHMUDENKO , YAROSLAV", 27181 ,X,,,,,9-11,5-11,11-5,11-6,3-11,2-3,0 - 2
singles,3,811,C.T.T. OLOT - GABINET PERMAR,1348,SAN SEBASTIAN DE LOS REYES,"DE LAS HERAS PLAZA, RAFAEL", 19291 ,C,"PONS SANUY, ARNAU", 17694 ,Z,,,,,13-11,12-10,11-3,,,3-0,1 - 2
